Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Негода,Костянтин,Ігоревич,чоловіча,1961-03-21,Електромонтер,місто Харків,"площа Академіка Вавилова, буд. 528 кв. 462, Монастириська, 15475",+380 14 604 09 21,ztsushko@example.com
Андрусенко,Алла,Дмитрівна,жіноча,1994-02-04,Скульптор,місто Василівка ,"провулок Магнітогорська, буд. 16, Заліщики, 42240",086 427-40-95,hermanovsiienko@example.net
Притула,Данна,Максимівна,жіноча,1948-08-21,Інженер,місто Донецьк,"узвіз Болградська, буд. 1 кв. 65, Верхівцеве, 30868",074 496-64-05,okhrim09@example.com
Бабко,Володимир,Артемович,чоловіча,1983-06-11,Інженер,місто Покровськ,"проспект Олександра Невського 5-й, буд. 6, Старобільськ, 11603",+380 36 914 14 15,vasylashkoustym@example.net
Талан,Азар,Михайлович,чоловіча,1946-08-27,Етнограф,хутір Чистякове,"шосе Східчастий 4-й, буд. 82, Покров, 19916",964-86-49,snizhanaiaremchuk@example.com
Скиба,Герман,Олександрович,чоловіча,1966-10-31,Бізнесмен,село Баранівка,"провулок Чайковського, буд. 040, Кагарлик, 92546",+380 38 871-00-89,volodymyrbandurka@example.com
Тарасенко,Трохим,Сергійович,чоловіча,1981-12-17,Реставратор,село Баранівка,"площа Грузовий, буд. 45 кв. 66, Дніпрорудне, 04526",+380 91 050-26-53,karasherman@example.net
Чумак,Ліза,Павлівна,жіноча,1981-03-15,Археолог,хутір Южноукраїнськ,"узвіз Кузнечна, буд. 3, Армянськ, 39130",211 59 97,iakivsaienko@example.com
Шморгун,Стефан,Максимович,чоловіча,1994-10-03,Диригент,село Джанкой,"парк Грецька, буд. 74, Камінь-Каширський, 44896",251 52 10,leontii74@example.net
Лемешко,Соломія,Петрівна,жіноча,2001-05-12,Гірничий інженер,селище Старий Самбір,"узвіз Училищна, буд. 8 кв. 5, Тальне, 86212",+380 25 143 04 76,umanetskostiantyn@example.com
Орлик,Арсен,Артемович,чоловіча,1951-11-05,Літературознавець,селище Верхівцеве,"проспект Хімічний 1-й, буд. 208, Балта, 75780",+380 00 049-60-07,fdevdiuk@example.com
Цюцюра,Борислав,Юрійович,чоловіча,1947-07-16,Геофізик,хутір Каховка,"парк Соляний 3-й, буд. 0, Амвросіївка, 11133",+380 42 583 18 88,iustyna74@example.net
Охріменко,Анастасія,Максимівна,жіноча,2004-06-28,Соціолог,селище Довжанськ,"набережна Глиняна, буд. 41, Мена , 57097",+380 79 578 55 68,demyddeisun@example.org
Єфименко,Ліза,Василівна,жіноча,1981-09-06,Пекар,хутір Городище ,"парк Лінія 44-та, буд. 98 кв. 8, Сарни, 43272",026 820-00-83,parmennikoliuk@example.org
Чміль,Демид,Федорович,чоловіча,1943-09-23,Бухгалтер,місто Горлівка,"провулок Висоцького, буд. 03, Рудки, 30908",+380 99 860 88 56,pshakhrai@example.com
Мамчур,Аліна,Ігорівна,жіноча,1985-05-22,Євнух,селище Свалява,"площа Польова, буд. 8, Благовіщенське, 61006",402 04 41,cakymenko@example.org
Єрьоменко,Ліза,Ігорівна,жіноча,1988-10-19,Гірничий інженер,селище Привілля,"набережна Херсонський сквер, буд. 096, Кипуче, 68085",+380 21 509-54-02,zinchenkooksana@example.net
Москаль,Сніжана,Юріївна,жіноча,1966-05-08,Електротехнік,місто Ворожба,"провулок 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 65, Кремінна, 85173",068 697 39 11,baranetshordii@example.net
Авраменко,Орхип,Федорович,чоловіча,1947-09-08,Мікробіолог,селище Мелітополь,"шосе Сегедська, буд. 08, Буринь, 31446",+380 39 976 71 16,qbazavluchenko@example.com
Полтавець,Панас,Леонідович,чоловіча,1978-01-17,Ріелтор,село Вільногірськ,"площа Раїси Сергієнко, буд. 502 кв. 6, Мостиська, 83007",+380 (91) 776-42-61,orobetsiakiv@example.com
Карпа,Ярема,Леонідович,чоловіча,1950-08-07,Геолог,хутір Харцизьк,"набережна Фестивальний, буд. 34 кв. 43, Генічеськ, 16761",+380 87 095-96-15,liubovsvyrydenko@example.com
Затовканюк,Прохір,Андрійович,чоловіча,1965-12-25,Музикознавець,село Хорол ,"площа Академіка Філатова, буд. 75, Монастириська, 41372",+380 23 382-09-75,borysvyshniak@example.org
Дейнека,Альбіна,Миколаївна,жіноча,1954-08-24,Археолог,хутір Звенигородка,"сквер Скидановський узвіз, буд. 997 кв. 67, Ржищів, 64507",223-52-86,oles75@example.net
Архимович,Арсен,Федорович,чоловіча,1997-07-30,Драматург,селище Карлівка,"набережна Селищна, буд. 91, Знам'янка, 56066",+380 (08) 871-20-46,havryloizhak@example.net
Запорожець,Альбіна,Павлівна,жіноча,1946-04-26,Візажист,місто Кролевець,"проспект Гагаріна, буд. 3 кв. 604, Броди, 20370",+380 (02) 386-93-93,vitalii28@example.com
Закусило,Оксенія,Андріївна,жіноча,1970-04-27,Вчитель,селище Сторожинець,"вулиця В’ячеслава Чорновола, буд. 945, Макіївка, 75371",446 92 23,abramenkoopanas@example.org
Дергач,Андрій,Васильович,чоловіча,1994-11-14,Електрослюсар,селище Зіньків,"шосе Прохоровський, буд. 275, Фастів, 35426",+380 14 505 03 21,snizhanaartemenko@example.org
Ємець,Олег,Петрович,чоловіча,2004-06-25,Астрофізик,селище Вишгород,"проспект Проектований 4-й, буд. 373 кв. 81, Привілля, 94540",998 88 36,biurchuk@example.net
Лемешко,Володимира,Іванівна,жіноча,1999-04-11,Біолог,село Верхівцеве,"вулиця Старокінний, буд. 3 кв. 70, Вінниця, 79755",+380 01 287-43-46,varfolomiiveres@example.org
Баклан,Василь,Миколайович,чоловіча,1959-09-08,Педагог,місто Білозерське,"проспект Братська, буд. 09 кв. 11, Виноградів, 67092",+380 (18) 385-63-03,vyshyvanaolena@example.net
Парасюк,Климент,Максимович,чоловіча,1947-10-07,Співак,місто Белз,"вулиця Середня, буд. 05 кв. 427, Долинська, 48114",076 945-52-06,liubov15@example.net
Скиба,Назар,Леонідович,чоловіча,1988-08-26,Живописець,селище Тернівка ,"проспект 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 67, Хмельницький, 98015",+380 (88) 650-50-34,iermolenkosolomon@example.com
Жученко,Михайло,Миколайович,чоловіча,1973-08-16,Архітектор,місто Овруч,"узвіз Технічний, буд. 14 кв. 016, Семенівка, 07373",+380 75 796-90-92,averes@example.net
Шведченко,Наталія,Романівна,жіноча,1943-12-17,Модельєр,хутір Буча,"сквер Зоринська, буд. 146, Вижниця, 45573",+380 93 344 75 01,virakhomyk@example.net
